"user","condition","gameIndex","tendency","guessesLog10","guesses","score","userRating","timestamp","user"
"04REnyajQ1UpNs6nnNXPhPxlYdK2","random","1","-0.5000","10.00000000004340000","10000000001.0000","4.0000","3.5000","5 Dec 2016","04REnyajQ1UpNs6nnNXPhPxlYdK2"
"04REnyajQ1UpNs6nnNXPhPxlYdK2","common","1","-0.2500","3.99785819652236250","12994.0000","1.8750","1.6250","5 Dec 2016","04REnyajQ1UpNs6nnNXPhPxlYdK2"
"04REnyajQ1UpNs6nnNXPhPxlYdK2","mangled","1","0.2500","4.64659253160258750","307293.6250","2.1250","2.3750","5 Dec 2016","04REnyajQ1UpNs6nnNXPhPxlYdK2"
"04REnyajQ1UpNs6nnNXPhPxlYdK2","passphrase","1","-2.6364","8.52873076181091818","423682388.9091","4.0000","1.3636","5 Dec 2016","04REnyajQ1UpNs6nnNXPhPxlYdK2"
"0J5jNu7OmnVvFidLF8ngEsW7wz13","passphrase","1","-0.1429","8.58411850970882857","669311229.7143","3.8571","3.7143","5 Dec 2016","0J5jNu7OmnVvFidLF8ngEsW7wz13"
"0J5jNu7OmnVvFidLF8ngEsW7wz13","random","1","-0.1000","9.86469484404041000","7891203000.6000","4.0000","3.9000","5 Dec 2016","0J5jNu7OmnVvFidLF8ngEsW7wz13"
"0J5jNu7OmnVvFidLF8ngEsW7wz13","common","1","0.2222","4.14998408398135556","15973.1111","2.0000","2.2222","5 Dec 2016","0J5jNu7OmnVvFidLF8ngEsW7wz13"
"0J5jNu7OmnVvFidLF8ngEsW7wz13","mangled","1","0.4545","4.58350873387750909","81806.0909","1.9091","2.3636","5 Dec 2016","0J5jNu7OmnVvFidLF8ngEsW7wz13"
"0jHJy4BdBmd4oGdBOPeFsjOCDYo1","mangled","1","-1.0000","4.00397724184550000","10092.0000","2.0000","1.0000","11 Jul 2017","0jHJy4BdBmd4oGdBOPeFsjOCDYo1"
"0jHJy4BdBmd4oGdBOPeFsjOCDYo1","passphrase","1","-2.0000","8.84833503831310000","812755464.0000","4.0000","2.0000","11 Jul 2017","0jHJy4BdBmd4oGdBOPeFsjOCDYo1"
"0jHJy4BdBmd4oGdBOPeFsjOCDYo1","random","1","-0.7143","9.99720833525988571","9937144286.5714","4.0000","3.2857","11 Jul 2017","0jHJy4BdBmd4oGdBOPeFsjOCDYo1"
"0jHJy4BdBmd4oGdBOPeFsjOCDYo1","common","1","-0.6667","3.38127863851863333","3094.3333","1.6667","1.0000","11 Jul 2017","0jHJy4BdBmd4oGdBOPeFsjOCDYo1"
"0m5wLBi34UXjHy8LMQeQsGPkqF52","random","1","-0.5000","9.91985697418557500","8695000000.7500","4.0000","3.5000","5 Dec 2016","0m5wLBi34UXjHy8LMQeQsGPkqF52"
"0m5wLBi34UXjHy8LMQeQsGPkqF52","common","1","-0.7500","4.08719033441187500","13482.7500","2.0000","1.2500","5 Dec 2016","0m5wLBi34UXjHy8LMQeQsGPkqF52"
