"id","user","userID","game","gameIndex","achieved","percent","total"
"170","j2t9h2aRSochkCsvG8nUTxu6ugB2","86","-KYFUiBcF9vP0vZAX4Uh","4","950","87","1100"
"171","j2t9h2aRSochkCsvG8nUTxu6ugB2","86","-KYFWM50FmbgzZKm5iIT","5","1050","88","1200"
"172","j2t9h2aRSochkCsvG8nUTxu6ugB2","86","-KYGWFwRS7veFkgTeUAX","6","1950","85","2300"
"173","j2t9h2aRSochkCsvG8nUTxu6ugB2","86","-KYGWWuRJ-6fEdNh8vhY","7","1550","74","2100"
"174","j2t9h2aRSochkCsvG8nUTxu6ugB2","86","-KYGWe3FUSmksP0cRdJA","8","3250","82","4000"
"175","j2t9h2aRSochkCsvG8nUTxu6ugB2","86","-KYGWitKUbdBMzAJHR4x","9","3075","77","4000"
"176","j2t9h2aRSochkCsvG8nUTxu6ugB2","86","-KYKA3iuCx_g78duHbP1","10","1675","94","1800"
"177","j2t9h2aRSochkCsvG8nUTxu6ugB2","86","-KYKANm-wPXvpY9ziShc","11","1475","87","1700"
"178","j2t9h2aRSochkCsvG8nUTxu6ugB2","86","-KYKAn-lyrm6Ne6nhb4a","12","0","0","0"
"179","j2t9h2aRSochkCsvG8nUTxu6ugB2","86","-KYKWnTqvQBDPrXT7Ymr","13","1450","91","1600"
"180","j2t9h2aRSochkCsvG8nUTxu6ugB2","86","-KYKX9tms4Cjamk0xH7A","14","1550","97","1600"
"181","j2t9h2aRSochkCsvG8nUTxu6ugB2","86","-KYKXYkefuR0LYROhRo1","15","1275","99","1300"
"182","j2t9h2aRSochkCsvG8nUTxu6ugB2","86","-KYKXsSkpFXK0FqG_DNO","16","1300","100","1300"
"183","jKtr5qwOdNN5S53197g9amLQ1fv1","87","-KYEyn2Vb7cDuq8g12Kk","1","1975","86","2300"
"184","jKtr5qwOdNN5S53197g9amLQ1fv1","87","-KYEzWD10srJcXBfFzJm","2","75","75","100"
"185","jKtr5qwOdNN5S53197g9amLQ1fv1","87","-KYF-TXxz2JKCT-pDKuY","3","100","100","100"
"186","jKtr5qwOdNN5S53197g9amLQ1fv1","87","-KYFD5QsIQE79_RklovM","4","1750","93","1900"
"187","jKtr5qwOdNN5S53197g9amLQ1fv1","87","-KYFDNGbw_1BEwL9oPk8","5","1625","91","1800"
"188","jxDaBQc2e2UjpRqnvH15X5NwlPC3","88","-Ke91JDkcrwOAVXbz9dZ","1","1650","75","2200"
"189","kxtmphTKvTZPzWKLPyg7SrJ7EFq1","89","-KcsxAm_42yepgPF_MFg","1","850","57","1500"
"190","l3bBmPJzRAaXn7umtJIUK125OPk2","90","-KYFBPuSQNMWWSyqNcqf","1","2775","70","4000"
"191","l3bBmPJzRAaXn7umtJIUK125OPk2","90","-KYFCWQ7n4ZxL7OwCV6Q","2","1325","95","1400"
"192","l9JNuTtKJNfYTfILr7mCY0mklqI3","91","-Ke3etDZlSMpfLy_2_WB","1","1950","73","2700"
"193","mbQFZfGFe7aP3ZUkwhcHESUbSbg1","92","-Kb_-6qgytr7albsFhj2","1","2650","74","3600"
"194","mcmhJRUNyNae4FfnN50mgD0QAAT2","93","-KdCYStMr8f4aq9KDGlt","1","2025","55","3700"
"195","mgAnERU3l0RG16sBhUIjmYtKrNr1","94","-KbOzsNw8BfNbEmgpwiS","1","1950","82","2400"
"196","nGabMp1wqoP4slMEY7PzVhlMxwk1","95","-KZHmLyLlBWbPcVWfY9T","1","1725","79","2200"
"197","oaNTpEvs4bMOPZxycCvmT6FKsVA3","96","-KYFTNS9CooUbVPWjxci","1","2600","71","3700"
"198","oaNTpEvs4bMOPZxycCvmT6FKsVA3","96","-KYFl7bNCTb-3updd-aq","2","2925","89","3300"
"199","pdbxuTe21eZakjwD4pUS8QjMw8y2","97","-KYFgkcvoM52SF0ZgXUp","1","2125","82","2600"
"200","pfmRA0bn0Xdry24BDrMC9kmnXQh2","98","-KYF2HJqii17rLGY80bY","1","1900","83","2300"
"201","qMrJJbyhe2SKkmExdzNcMlMVC1D3","99","-KYF1xV_9QOTX2QvPLW9","1","1850","69","2700"
"202","qlRAWBh7EEOd5kCEjYLqLz6j67u2","100","-KcsLnp6f4NlGZhOEskh","1","1575","88","1800"
"203","rLkKTDzQFLQcBjdZreGzqDsXuIm2","101","-KgAL1BXorupGd5XBXjL","1","2625","66","4000"
"204","tANwDFCCfwdUgzh0Rva1Tf7Yazi1","102","-Ke9krP7uoJqRDjeLlpD","1","2600","73","3600"
"205","tQ6R6WbBcoQMuRGQgSEKhPVflxh2","103","-KYGwCaGLkI3bOk-Y02k","1","725","81","900"
